Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	stationaryDist[1]	stationaryDist[2]	tree_length
720	-39.60589	-55.16773	15.56183	0.139261	0.0756595	0.0282609	0.00185342	0.118286	0.021389	0.0123568	0.0510146	0.063046	0.0240917	0.0647821	0.0800139	0.0309995	0.0112161	0.0836878	0.142151	0.0156872	0.106134	0.0181544	0.0382237	0.0360006	0.0160196	0.0507338	1.81634	0.510197	0.1669948	1.833005	0.12031	0.356009	0.724543	1.38018	2.80892	8.31186	1.531231	10.97642	2.136046	0.11331	0.0615607	0.0229946	0.00150804	0.0962437	0.0174033	0.0100542	0.0415083	0.0512977	0.0196024	0.0527103	0.0651037	0.0252229	0.00912605	0.068093	0.115662	0.012764	0.0863562	0.0147714	0.0311009	0.0292921	0.0130344	0.0412798	0.916503	0.0834974	1.229023
756	-37.31621	-54.37297	17.05676	0.0971846	0.0170739	0.0047056	0.0320881	0.0219909	0.00919616	0.00565233	0.00746863	0.0225378	0.011261	0.011968	0.018349	0.0345041	0.0276909	0.0295158	0.0156209	0.0102269	0.0204363	0.0219006	0.0489378	0.0289283	0.0117304	0.00407905	2.35774	0.185354	0.6912512	1.308749	0.165447	0.415852	0.760529	1.31487	2.4047	6.04422	1.300875	1.893304	7.632122	0.189426	0.0332794	0.00917186	0.0625442	0.0428633	0.0179246	0.0110172	0.0145574	0.0439294	0.0219492	0.0233272	0.0357647	0.0672533	0.0539733	0.0575304	0.0304473	0.0199336	0.0398331	0.0426873	0.0953866	0.0563854	0.0228642	0.00795063	0.654374	0.345626	0.5130472
792	-39.90879	-56.63015	16.72136	0.0641335	0.00787753	0.00163428	0.0639555	0.0387207	0.00406975	0.014872	0.00475627	0.0124914	0.0724536	0.0859118	0.064132	0.108065	0.0109498	0.00275805	0.000686168	0.0582142	0.00309971	0.0129534	0.0669204	0.0143392	0.00498197	0.0186611	0.13505	1.51897	0.05757555	1.942424	0.112503	0.344548	0.717184	1.39434	2.90236	8.88869	1.579746	33.73697	0.05334546	0.0870625	0.0106939	0.00221857	0.0868208	0.0525641	0.00552476	0.020189	0.00645673	0.0169573	0.0983572	0.116627	0.0870604	0.146701	0.0148645	0.0037441	0.000931487	0.0790269	0.00420791	0.0175845	0.0908458	0.0194657	0.00676313	0.0253328	0.971212	0.0287878	0.7366376
828	-36.16951	-52.60314	16.43363	0.116883	0.00996106	0.0056619	0.0124112	0.0325544	0.00522789	0.0405541	0.0483443	0.0314782	0.0679294	0.0183025	0.0121091	0.022059	0.0081644	0.103092	0.030555	0.0636851	0.0122239	0.0305491	0.0153157	0.023416	0.03284	0.0212667	0.960242	1.02385	0.0578823	1.942118	0.476769	0.696803	0.893415	1.1193	1.43513	2.09745	0.5355941	33.55288	0.5627214	0.152871	0.0130281	0.0074052	0.0162327	0.0425779	0.00683756	0.0530407	0.0632296	0.0411704	0.088845	0.0239378	0.0158375	0.028851	0.0106782	0.134834	0.0399629	0.0832938	0.0159876	0.0399552	0.0200315	0.0306259	0.0429515	0.0278148	0.971059	0.0289412	0.7645838
864	-39.53678	-51.88733	12.35055	0.111102	0.0440911	0.00910965	0.0269051	0.0117525	0.0101129	0.050332	0.0788377	0.00539953	0.152567	0.0183857	0.0685695	0.082165	0.00552092	0.0931268	0.000409298	0.0756625	0.00956165	0.036903	0.0680366	0.102513	0.0828676	0.0280894	2.56916	0.0585068	0.422508	1.577492	0.0270708	0.171999	0.577429	1.73181	5.81397	36.9401	2.609771	3.733638	26.34727	0.0947954	0.0376197	0.0077726	0.0229561	0.0100276	0.0086286	0.0429446	0.0672665	0.00460703	0.130174	0.0156871	0.0585054	0.0701055	0.0047106	0.0794583	0.000349224	0.0645573	0.00815826	0.0314866	0.0580507	0.0874668	0.0707049	0.0239667	0.788746	0.211254	1.17202
900	-36.37713	-50.33043	13.9533	0.405616	0.0845609	0.00968255	0.0167131	0.042504	0.00939723	0.0309806	0.183908	0.00233933	0.0741086	0.0666398	0.0908494	0.0145364	0.125558	0.240564	0.337928	0.0997509	0.0292484	0.0123351	0.216331	0.226266	0.257124	0.0461752	1.83017	0.501899	0.1199551	1.880045	0.503785	0.715788	0.900939	1.10995	1.39706	1.98497	0.4957398	15.6729	2.187895	0.154631	0.0322368	0.00369124	0.00637147	0.0162036	0.00358247	0.0118106	0.0701103	0.000891811	0.0282521	0.0254048	0.0346341	0.00554167	0.047866	0.0917092	0.128827	0.0380276	0.0111502	0.00470245	0.0824711	0.0862585	0.0980223	0.0176032	0.940022	0.0599776	2.623117
936	-35.58732	-52.60396	17.01663	0.0632297	0.0803718	0.0415749	0.0750911	0.0177693	0.000223842	0.0278171	0.0203705	0.01373	0.0804093	0.187739	0.0764759	0.0619644	0.16258	0.0959623	0.0289038	0.29592	0.0181004	0.177484	0.0992483	0.159301	0.125248	0.0739534	0.442611	1.33443	0.1000493	1.899951	0.706048	0.843871	0.948417	1.05439	1.18502	1.41634	0.2516805	18.99015	0.199011	0.0318783	0.0405208	0.0209607	0.0378585	0.00895867	0.000112854	0.0140245	0.0102701	0.0069222	0.0405397	0.094652	0.0385566	0.0312404	0.0819675	0.048381	0.0145723	0.149193	0.00912562	0.0894817	0.0500377	0.0803144	0.0631462	0.0372849	0.949975	0.0500246	1.98347
972	-34.7238	-51.77093	17.04713	0.0321027	0.0309046	0.000174533	0.00554457	0.000316598	0.000814373	0.00846585	0.00179041	0.00175242	0.0464147	0.0107842	0.00807191	0.0025067	0.00116275	0.0483646	0.0245016	0.0192134	0.019306	0.0483826	0.00568201	0.0242065	0.022762	0.0264293	1.27912	0.832527	0.2090067	1.790993	0.0747175	0.282205	0.673886	1.48393	3.54352	13.3837	1.87567	8.569071	0.9218598	0.0823877	0.0793129	0.000447918	0.0142295	0.000812509	0.00208999	0.0217266	0.00459487	0.00449738	0.119118	0.0276764	0.0207155	0.00643313	0.00298405	0.124122	0.0628804	0.0493087	0.0495465	0.124168	0.0145822	0.0621231	0.058416	0.0678274	0.895497	0.104503	0.3896545
1008	-34.01293	-52.39137	18.37844	0.416987	0.0650848	0.00938714	0.0668183	0.00858933	0.0317431	0.128993	0.0381408	0.00278957	0.127867	0.0289073	0.0334483	0.235992	0.0416977	0.0143551	0.0206746	0.219556	0.0272066	0.153658	0.0416797	0.081741	0.0570359	0.0131251	0.999193	1.00048	0.4383184	1.561682	0.326145	0.579014	0.843264	1.18587	1.72707	3.06612	0.8101363	3.562893	0.599226	0.223528	0.0348891	0.00503203	0.0358184	0.00460436	0.0170161	0.0691475	0.0204456	0.00149537	0.0685438	0.0154959	0.0179301	0.126505	0.0223523	0.00769511	0.0110827	0.117695	0.0145842	0.0823695	0.0223426	0.0438177	0.0305744	0.00703576	0.780841	0.219159	1.865478
1044	-39.38958	-58.52032	19.13075	0.090114	0.0785194	0.0106459	0.0155078	0.0735085	0.0447162	0.162406	0.00104429	0.0194726	0.210067	0.081939	0.160548	0.0136296	0.0174062	0.00840331	0.00405219	0.0671237	0.0204457	0.172744	0.260684	0.198476	0.166067	0.291614	0.740873	1.15548	0.849681	1.150319	0.212131	0.469444	0.789842	1.26608	2.13018	4.71406	1.121154	1.353825	0.3847105	0.0415438	0.0361985	0.00490788	0.00714931	0.0338884	0.0206148	0.0748712	0.000481431	0.00897712	0.0968437	0.037775	0.0740149	0.00628343	0.00802448	0.00387404	0.00186811	0.0309449	0.00942575	0.0796374	0.120179	0.0915002	0.0765591	0.134438	0.57516	0.42484	2.169135
